_id,numberOfRecords,percentageGain
0,5311,-0.9376432515456723
1,18,-0.356907765371682
2,18,-0.356907765371682
3,18,-0.356907765371682
4,18,0.9411436960321443
5,18,0.9411436960321443
6,18,0.9411436960321443
7,17,1.8305367034562048
8,17,1.8305367034562048
9,17,1.8305367034562048
10,17,2.066428240393933
11,17,2.066428240393933
12,17,2.066428240393933
13,17,-0.23691516969303872
14,17,-0.23691516969303872
15,17,-0.23691516969303872
16,16,-2.7991729181495204
17,16,-2.7991729181495204
18,16,-2.7991729181495204
19,16,-2.3997724684867148
20,16,-2.3997724684867148
21,16,-2.3997724684867148
22,18,-0.356907765371682
23,18,-0.356907765371682
24,18,-0.356907765371682
25,18,0.9411436960321443
26,18,0.9411436960321443
27,18,0.9411436960321443
28,17,1.8305367034562048
29,17,1.8305367034562048
30,17,1.8305367034562048
31,17,2.066428240393933
32,17,2.066428240393933
33,17,2.066428240393933
34,17,-0.23691516969303872
35,17,0.7644963335760798
36,17,0.7644963335760798
37,16,-2.7991729181495204
38,15,-1.3881852787991802
39,15,-1.3881852787991802
40,19,1.6080496415237167
41,18,1.5707717837981074
42,17,2.0053858373919504