VAR_ID,CandleTime,RSIIndicator,RSILowerLimit,EntryPoint,ProfitCut,ReleaseCount,LossLock
0,0,0,0,0,0,0,0
1,1,14,30,0,0.4,10,10
2,1,14,30,0,0.4,15,10
3,1,14,30,0,0.4,20,10
4,1,14,30,0,0.5,10,10
5,1,14,30,0,0.5,15,10
6,1,14,30,0,0.5,20,10
7,1,14,30,0,0.6,10,10
8,1,14,30,0,0.6,15,10
9,1,14,30,0,0.6,20,10
10,1,14,30,0,0.7,10,10
11,1,14,30,0,0.7,15,10
12,1,14,30,0,0.7,20,10
13,1,14,30,0,0.8,10,10
14,1,14,30,0,0.8,15,10
15,1,14,30,0,0.8,20,10
16,1,14,30,0,0.9,10,10
17,1,14,30,0,0.9,15,10
18,1,14,30,0,0.9,20,10
19,1,14,30,0,1,10,10
20,1,14,30,0,1,15,10
21,1,14,30,0,1,20,10
22,1,14,30,0,0.4,30,10
23,1,14,30,0,0.4,40,10
24,1,14,30,0,0.4,60,10
25,1,14,30,0,0.5,30,10
26,1,14,30,0,0.5,40,10
27,1,14,30,0,0.5,60,10
28,1,14,30,0,0.6,30,10
29,1,14,30,0,0.6,40,10
30,1,14,30,0,0.6,60,10
31,1,14,30,0,0.7,30,10
32,1,14,30,0,0.7,40,10
33,1,14,30,0,0.7,60,10
34,1,14,30,0,0.8,30,10
35,1,14,30,0,0.8,40,10
36,1,14,30,0,0.8,60,10
37,1,14,30,0,0.9,30,10
38,1,14,30,0,0.9,40,10
39,1,14,30,0,0.9,60,10
40,1,14,30,0,1,30,10
41,1,14,30,0,1,40,10
42,1,14,30,0,1,60,10